Wilayah,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Stunting (%),IKP
jawa timur - bangkalan,0.61,21.57,58.03,38.9,70.59
jawa timur - sampang,0.43,23.76,57.79,17.2,73.25
jawa timur - pamekasan,0.79,15.3,38.55,38.7,74.41
jawa timur - sumenep,0.5,20.51,52.51,29.0,74.01
jawa timur - kota kediri,0.0,7.75,10.29,15.7,73.95
jawa timur - kota blitar,0.0,7.89,9.19,12.9,74.57
jawa timur - kota malang,0.0,4.62,6.51,25.7,80.8
jawa timur - kota probolinggo,0.0,7.44,7.41,19.0,73.83
jawa timur - kota pasuruan,0.0,6.88,22.4,22.1,71.21
jawa timur - kota mojokerto,0.0,6.39,12.11,6.9,81.43
jawa timur - kota madiun,0.0,5.09,6.49,12.4,85.32
jawa timur - kota surabaya,0.0,5.23,9.38,28.9,81.59
jawa timur - kota batu,0.0,4.09,7.04,15.0,76.86
banten - pandeglang,0.51,10.72,38.1,37.8,72.32
banten - lebak,0.65,10.29,41.24,27.3,71.96
banten - tangerang,1.82,7.12,23.46,23.3,77.0
banten - serang,0.77,5.49,33.0,27.2,78.63
banten - kota tangerang,0.0,5.93,11.31,15.3,79.08
banten - kota cilegon,0.0,4.24,13.48,20.6,72.63
banten - kota serang,0.0,6.79,27.55,23.4,59.88
banten - kota tangerang selatan,0.0,2.57,4.1,19.9,78.74
bali - jembrana,1.13,5.06,12.7,14.3,83.29
bali - tabanan,0.49,5.12,5.14,9.2,92.2
bali - badung,1.09,2.62,4.33,8.7,91.29
bali - gianyar,0.8,4.85,4.37,5.1,91.07
bali - klungkung,1.04,5.64,16.65,19.4,83.29
bali - bangli,1.95,5.09,14.84,11.8,75.1
bali - karangasem,0.98,6.78,18.06,22.9,78.79
bali - buleleng,1.49,6.12,28.71,8.9,79.91
bali - kota denpasar,0.0,2.96,3.46,9.0,91.82
