Wilayah,Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Harapan Hidup (tahun),Stunting (%),IKP,IKP Ranking,
jawa timur - blitar,6,0.58,9.65,20.42,0.00,26.92,7.85,0.66,73.61,14.50,84.34,47,
jawa timur - kediri,6,0.87,11.64,27.20,0.00,36.86,8.22,0.41,72.65,18.00,79.16,155,
jawa timur - malang,6,1.00,10.50,29.76,0.00,24.98,7.59,0.59,72.61,25.70,79.26,151,
jawa timur - lumajang,6,0.54,10.05,38.82,0.41,27.74,7.32,0.66,70.21,30.10,79.34,148,
jawa timur - jember,6,0.59,10.41,36.36,0.06,31.28,6.43,0.53,69.28,23.90,78.34,171,
jawa timur - banyuwangi,6,0.50,8.07,18.79,0.00,24.40,7.43,1.49,70.72,20.10,83.82,54,
jawa timur - bondowoso,5,0.40,14.73,45.07,0.16,35.96,5.99,0.74,66.89,37.00,73.78,242,
jawa timur - situbondo,6,0.44,12.63,46.77,0.13,39.48,6.55,0.83,69.24,23.70,76.31,202,
jawa timur - probolinggo,5,0.70,18.91,43.32,0.28,30.22,6.20,0.73,67.36,23.30,73.00,253,
jawa timur - pasuruan,6,0.91,9.70,43.68,0.00,29.35,7.24,0.45,70.25,21.50,77.40,187,
jawa timur - sidoarjo,6,1.88,5.93,10.64,0.00,10.47,10.73,0.09,74.06,14.80,82.87,73,
jawa timur - mojokerto,6,0.52,10.62,31.31,0.00,14.06,8.66,0.25,72.59,27.40,84.06,50,
jawa timur - jombang,6,0.57,10.00,30.42,0.00,18.52,8.56,0.28,72.49,21.20,83.89,53,
jawa timur - nganjuk,6,0.38,11.85,38.94,0.00,22.42,7.85,0.50,71.60,25.30,81.82,92,
jawa timur - madiun,6,0.28,11.91,29.80,0.12,22.86,7.66,0.65,71.50,15.90,83.93,52,
jawa timur - magetan,6,0.32,10.66,33.84,0.00,10.88,8.29,0.36,72.65,17.20,86.36,15,
jawa timur - ngawi,6,0.17,15.57,29.66,0.00,13.41,7.68,0.53,72.41,16.20,85.01,36,
jawa timur - bojonegoro,6,0.29,13.27,28.33,0.28,16.92,7.45,0.73,71.72,23.90,83.55,56,
jawa timur - tuban,6,0.27,16.31,31.56,0.00,11.10,7.61,0.76,71.56,25.10,83.02,72,
jawa timur - lamongan,6,0.26,13.86,24.90,0.20,10.04,8.08,0.42,72.49,20.50,85.86,26,
jawa timur - gresik,6,0.57,12.42,18.54,0.00,2.71,9.59,0.26,72.67,23.00,86.81,14,
jawa timur - bangkalan,5,0.61,21.57,58.03,0.14,32.89,6.16,0.38,70.22,38.90,70.59,281,
jawa timur - sampang,5,0.43,23.76,57.79,0.00,22.78,5.47,0.58,68.07,17.20,73.25,251,
jawa timur - pamekasan,5,0.79,15.30,38.55,0.00,22.44,6.89,0.37,67.67,38.70,74.41,234,
jawa timur - sumenep,5,0.50,20.51,52.51,0.49,31.09,6.23,0.69,71.56,29.00,74.01,240,
jawa timur - kota kediri,6,0.00,7.75,10.29,0.00,27.61,10.95,0.02,74.04,15.70,73.95,58,
jawa timur - kota blitar,6,0.00,7.89,9.19,0.00,27.53,10.88,0.03,73.86,12.90,74.57,57,
jawa timur - kota malang,6,0.00,4.62,6.51,0.00,10.38,10.95,0.02,73.36,25.70,80.80,31,
jawa timur - kota probolinggo,6,0.00,7.44,7.41,0.00,11.14,9.45,0.05,70.35,19.00,73.83,61,
jawa timur - kota pasuruan,6,0.00,6.88,22.40,0.00,9.16,10.02,0.04,71.60,22.10,71.21,70,
jawa timur - kota mojokerto,6,0.00,6.39,12.11,0.00,10.25,10.86,0.01,73.39,6.90,81.43,26,
jawa timur - kota madiun,6,0.00,5.09,6.49,0.00,6.90,11.79,0.02,72.83,12.40,85.32,8,
jawa timur - kota surabaya,6,0.00,5.23,9.38,0.00,0.09,10.36,0.02,74.18,28.90,81.59,25,
jawa timur - kota batu,6,0.00,4.09,7.04,0.00,22.67,9.87,0.14,72.65,15.00,76.86,49,
banten - pandeglang,5,0.51,10.72,38.10,0.00,50.84,6.70,1.27,64.79,37.80,72.32,259,
banten - lebak,5,0.65,10.29,41.24,0.45,60.22,6.40,1.10,67.33,27.30,71.96,262,
banten - tangerang,6,1.82,7.12,23.46,0.00,16.87,8.90,0.12,69.93,23.30,77.00,194,
banten - serang,6,0.77,5.49,33.00,0.00,24.53,7.50,0.63,64.76,27.20,78.63,166,
banten - kota tangerang,6,0.00,5.93,11.31,0.00,7.56,10.67,0.02,71.60,15.30,79.08,42,
banten - kota cilegon,6,0.00,4.24,13.48,0.00,9.26,10.16,0.08,66.69,20.60,72.63,67,
banten - kota serang,4,0.00,6.79,27.55,0.00,22.08,8.92,0.12,68.12,23.40,59.88,88,
banten - kota tangerang selatan,6,0.00,2.57,4.10,0.00,28.59,11.22,0.02,72.47,19.90,78.74,43,
bali - jembrana,6,1.13,5.06,12.70,0.00,25.24,8.11,0.80,72.46,14.30,83.29,63,
bali - tabanan,6,0.49,5.12,5.14,0.00,6.65,9.02,0.42,73.75,9.20,92.20,1,
bali - badung,6,1.09,2.62,4.33,0.00,5.05,10.45,0.10,75.18,8.70,91.29,2,
bali - gianyar,6,0.80,4.85,4.37,0.00,6.98,9.33,0.14,73.78,5.10,91.07,3,
bali - klungkung,6,1.04,5.64,16.65,0.16,15.90,7.33,0.23,71.41,19.40,83.29,64,
bali - bangli,5,1.95,5.09,14.84,0.01,37.43,7.02,0.36,70.62,11.80,75.10,219,
bali - karangasem,6,0.98,6.78,18.06,0.73,33.36,5.65,0.61,70.56,22.90,78.79,160,
bali - buleleng,6,1.49,6.12,28.71,0.08,19.91,7.07,0.59,71.95,8.90,79.91,137,
bali - kota denpasar,6,0.00,2.96,3.46,0.00,1.66,11.16,0.01,74.93,9.00,91.82,1,
nusa tenggara barat - lombok barat,5,0.88,14.47,27.86,0.32,28.50,6.59,0.72,67.19,28.90,74.76,227,
nusa tenggara barat - lombok tengah,6,0.48,13.44,33.77,0.00,24.26,6.52,0.45,66.38,32.10,77.06,192,
nusa tenggara barat - lombok timur,5,0.72,15.38,30.27,0.14,29.93,6.94,0.40,66.16,37.60,73.87,241,
nusa tenggara barat - sumbawa,6,0.16,13.91,18.73,0.15,13.51,8.13,2.56,67.73,29.70,83.32,61,
nusa tenggara barat - dompu,6,0.15,12.60,16.14,0.17,31.08,8.69,1.59,66.99,31.50,81.30,103,
nusa tenggara barat - bima,6,0.24,14.88,23.37,0.24,21.90,8.59,3.11,66.50,30.40,80.39,121,
nusa tenggara barat - sumbawa barat,6,0.26,13.54,24.67,0.00,7.84,8.70,2.22,68.31,23.60,84.39,46,
nusa tenggara barat - lombok utara,5,0.67,27.04,37.62,0.43,38.49,6.12,0.95,67.36,34.00,68.17,302,
nusa tenggara barat - kota mataram,6,0.00,8.65,14.31,0.00,5.66,9.54,0.01,71.88,25.30,72.28,69,
nusa tenggara barat - kota bima,5,0.00,8.88,14.86,0.00,10.64,10.84,0.31,70.50,23.70,70.25,72,
nusa tenggara timur - kupang,4,0.82,22.98,49.56,8.68,41.51,7.54,3.98,64.91,40.40,65.54,320,
nusa tenggara timur - timor tengah selatan,4,0.61,26.64,58.93,15.11,42.58,6.93,2.94,66.46,48.30,63.65,329,
nusa tenggara timur - timor tengah utara,5,0.67,22.62,55.07,6.73,26.86,8.33,1.90,67.09,46.70,69.36,293,
nusa tenggara timur - belu,5,0.70,15.68,40.98,5.95,40.16,7.58,1.23,64.89,39.90,70.48,285,
nusa tenggara timur - alor,3,1.30,21.09,55.42,6.60,58.02,8.00,2.09,61.64,44.80,58.97,349,
nusa tenggara timur - flores timur,5,1.16,11.14,39.35,2.04,30.18,7.20,1.15,65.31,23.40,73.00,252,
nusa tenggara timur - sikka,6,0.84,13.35,35.28,9.74,22.30,7.37,1.06,67.45,26.60,75.72,214,
nusa tenggara timur - ende,5,1.25,24.13,32.55,1.56,18.10,8.32,1.26,65.43,27.20,70.13,286,
nusa tenggara timur - ngada,6,0.45,12.58,33.85,2.50,33.73,8.47,1.53,68.12,29.00,78.00,174,
nusa tenggara timur - manggarai,5,0.55,20.48,39.95,3.14,22.67,7.81,0.93,67.11,33.10,74.27,237,
nusa tenggara timur - sumba timur,5,0.57,29.68,38.04,3.14,29.50,8.20,5.54,65.16,28.80,69.30,294,
nusa tenggara timur - sumba barat,5,0.67,28.39,37.94,16.45,27.30,6.91,0.93,67.12,37.00,68.08,303,
nusa tenggara timur - lembata,4,1.10,26.21,38.97,3.32,33.59,7.30,1.70,67.20,31.70,66.98,312,
nusa tenggara timur - rote ndao,5,0.83,28.08,40.31,2.47,20.85,7.88,2.06,64.88,40.10,68.23,301,
nusa tenggara timur - manggarai barat,5,0.37,17.92,30.74,11.65,30.32,8.33,2.21,67.46,38.50,75.17,218,
nusa tenggara timur - nagekeo,5,0.80,12.91,34.92,4.38,43.45,7.77,1.82,67.25,28.10,73.33,248,
nusa tenggara timur - sumba tengah,4,0.38,34.27,45.21,15.54,54.44,7.03,3.93,68.42,34.00,63.76,327,
nusa tenggara timur - sumba barat daya,3,0.56,28.18,69.93,24.14,73.78,6.74,1.40,68.57,44.00,58.36,352,
nusa tenggara timur - manggarai timur,4,0.59,26.50,51.56,10.80,48.60,7.54,1.39,68.07,42.90,65.49,321,
nusa tenggara timur - sabu raijua,3,1.36,30.13,59.12,6.08,57.59,6.99,1.00,60.66,33.90,55.04,364,
nusa tenggara timur - malaka,5,0.57,16.33,41.11,8.25,60.45,7.41,1.49,65.01,31.40,68.56,298,
nusa tenggara timur - kota kupang,6,0.00,9.17,6.02,0.03,11.10,11.73,0.06,69.73,26.10,73.89,59,
kalimantan barat - sambas,5,0.72,7.66,19.95,0.25,90.90,6.44,4.67,69.08,32.60,69.84,288,
kalimantan barat - mempawah,5,0.90,5.18,18.81,0.00,70.28,7.28,4.05,71.18,29.70,74.61,230,
kalimantan barat - sanggau,5,1.62,4.55,17.19,7.64,47.68,7.47,10.83,71.42,26.20,73.63,245,
kalimantan barat - ketapang,5,0.87,10.13,22.03,5.69,56.50,7.44,14.63,71.11,23.60,74.41,235,
kalimantan barat - sintang,4,2.08,9.28,24.59,7.15,46.92,6.99,11.56,71.84,38.20,67.25,309,
kalimantan barat - kapuas hulu,5,1.92,8.93,22.39,1.34,39.76,7.28,22.83,72.53,28.90,70.90,276,
kalimantan barat - bengkayang,6,0.59,6.48,16.46,3.40,47.33,7.47,3.94,73.84,26.80,81.00,111,
kalimantan barat - landak,6,0.42,10.99,29.38,7.38,53.18,6.98,8.68,73.04,27.80,77.07,191,
kalimantan barat - sekadau,5,0.98,6.26,38.30,10.50,61.07,6.79,7.02,72.05,26.50,72.95,254,
kalimantan barat - melawi,3,3.38,12.01,27.57,5.50,44.73,7.15,13.23,72.98,37.20,59.04,348,
kalimantan barat - kayong utara,5,0.49,9.33,21.50,0.84,61.91,6.39,10.13,68.48,24.50,75.03,222,
kalimantan barat - kubu raya,5,1.17,4.34,18.41,0.27,87.95,7.21,4.91,70.69,40.30,69.28,295,
kalimantan barat - kota pontianak,5,0.00,4.58,8.84,0.00,57.07,10.63,0.03,73.12,24.40,64.81,82,
kalimantan barat - kota singkawang,5,0.00,4.83,9.01,0.48,44.32,8.12,0.30,72.18,22.30,61.50,86,
kalimantan  tengah - kotawaringin barat,4,5.00,3.95,10.82,0.03,13.15,8.78,9.79,70.68,23.40,60.23,342,
kalimantan  tengah - kotawaringin timur,6,1.42,5.91,18.46,0.52,27.79,8.31,10.19,69.90,32.50,76.95,196,
kalimantan  tengah - kapuas,6,0.41,5.35,31.06,0.75,50.21,7.65,9.37,68.78,25.00,78.78,161,
kalimantan  tengah - barito selatan,4,3.28,4.62,24.72,1.06,32.29,9.10,11.02,67.19,31.40,64.06,325,
kalimantan  tengah - barito utara,6,0.69,5.61,12.68,3.05,28.92,9.15,9.20,71.30,28.30,83.20,67,
kalimantan  tengah - katingan,6,0.83,5.25,31.24,1.72,29.92,8.84,22.07,65.87,29.30,77.50,185,
kalimantan  tengah - seruyan,4,3.43,7.22,23.13,0.40,31.78,8.06,20.69,69.26,29.30,62.55,333,
kalimantan  tengah - sukamara,4,4.82,3.66,13.70,1.97,20.25,8.53,9.62,71.56,24.70,60.10,343,
kalimantan  tengah - lamandau,5,1.99,3.56,19.56,4.52,26.77,8.38,10.58,69.39,23.20,74.81,225,
kalimantan  tengah - gunung mas,3,5.00,5.35,20.72,1.60,38.21,9.42,13.52,70.46,35.90,53.74,369,
kalimantan  tengah - pulang pisau,6,0.31,4.24,24.79,0.47,52.30,7.99,14.49,68.10,24.60,79.76,140,
kalimantan  tengah - murung raya,2,5.00,6.15,22.24,9.88,58.69,7.87,27.15,69.53,31.80,48.08,382,
kalimantan  tengah - barito timur,6,1.02,6.38,10.47,0.57,24.31,9.41,5.40,68.31,33.70,80.41,120,
kalimantan  tengah - kota palangkaraya,6,0.00,3.75,8.93,0.00,5.35,11.57,1.04,73.24,25.20,79.24,39,
kalimantan selatan - tanah laut,6,0.46,4.57,17.97,0.32,37.32,7.82,2.76,69.59,31.00,82.06,88,
kalimantan selatan - kotabaru,6,1.46,4.86,23.65,0.55,28.69,7.63,8.64,69.32,21.80,77.03,193,
kalimantan selatan - banjar,6,0.60,3.04,31.59,0.15,27.75,7.73,2.27,67.41,40.20,80.17,131,
kalimantan selatan - barito kuala,6,0.25,5.11,32.42,0.68,32.61,8.04,3.73,66.27,32.40,81.02,109,
kalimantan selatan - tapin,6,0.29,3.60,27.02,0.47,25.02,7.58,3.33,70.57,33.50,84.60,42,
kalimantan selatan - hulu sungai selatan,6,0.41,4.84,30.46,0.00,38.33,7.41,1.52,66.12,29.10,79.59,143,
kalimantan selatan - hulu sungai tengah,6,0.37,6.18,30.05,0.12,37.47,7.77,1.33,66.20,29.60,79.60,142,
kalimantan selatan - hulu sungai utara,6,0.55,6.83,14.75,0.24,21.91,8.07,0.95,64.10,20.90,82.05,89,
kalimantan selatan - tabalong,6,0.84,6.27,16.85,0.43,20.68,8.59,3.56,70.57,28.20,82.79,76,
kalimantan selatan - tanah bumbu,6,1.14,4.82,9.68,0.14,16.01,8.13,2.99,70.45,18.70,83.53,57,
kalimantan selatan - balangan,6,0.78,6.07,15.83,0.66,21.20,8.13,3.20,67.85,32.30,81.38,101,
kalimantan selatan - kota banjarmasin,6,0.00,4.89,9.31,0.00,0.21,10.17,0.02,71.29,27.80,79.20,40,
kalimantan selatan - kota banjarbaru,6,0.00,4.40,7.10,0.00,6.59,10.48,0.26,72.10,19.00,80.65,32,
kalimantan timur - paser,6,0.92,9.73,12.26,0.20,27.32,8.84,8.66,72.88,23.60,81.76,95,
kalimantan timur - kutai kartanegara,6,1.09,7.99,8.39,0.23,6.27,8.95,10.30,72.64,26.40,84.44,45,
kalimantan timur - berau,6,0.89,5.88,7.88,0.90,7.93,9.44,15.45,72.32,25.70,86.16,21,
kalimantan timur - kutai barat,4,3.59,10.24,11.45,0.13,22.08,9.01,11.23,73.10,15.80,66.94,313,
kalimantan timur - kutai timur,4,4.81,9.81,12.29,0.49,12.30,9.40,13.81,73.46,27.50,60.09,344,
kalimantan timur - penajam paser utara,6,0.74,7.61,13.67,0.00,8.15,8.31,3.90,71.68,27.30,85.51,29,
kalimantan timur - mahakam ulu,3,5.00,11.90,20.18,0.26,25.20,8.52,52.85,72.33,20.30,53.29,371,
kalimantan timur - kota balikpapan,6,0.00,2.89,3.09,0.00,1.29,11.12,0.13,74.76,17.60,89.47,2,
kalimantan timur - kota samarinda,6,0.00,4.99,3.82,0.00,1.87,10.40,0.16,74.54,21.60,84.66,13,
kalimantan timur - kota bontang,6,0.00,4.62,5.61,0.04,0.71,10.73,0.12,74.55,26.30,84.21,17,
kalimantan utara - bulungan,6,1.79,10.03,10.79,0.00,22.61,9.02,14.40,72.74,22.90,77.00,195,
kalimantan utara - malinau,4,2.99,7.30,7.23,7.99,26.05,8.76,50.44,71.49,24.20,67.25,308,
kalimantan utara - nunukan,6,1.70,6.79,10.38,1.06,31.26,8.44,13.77,71.40,30.00,75.87,210,
kalimantan utara - tana tidung,3,5.00,5.15,11.75,1.46,29.70,8.74,16.10,71.49,22.80,57.17,359,
kalimantan utara - kota tarakan,6,0.00,6.71,7.75,0.00,6.73,9.95,0.18,74.04,25.90,77.90,45,
sulawesi utara - bolaang mongondow,6,0.22,7.58,25.77,0.00,31.79,8.54,3.68,69.45,26.60,83.26,65,
sulawesi utara - minahasa,6,0.76,7.67,25.99,0.12,26.48,10.05,0.89,71.16,17.50,83.30,62,
sulawesi utara - kepulauan sangihe,3,4.73,11.02,39.30,2.82,19.46,9.00,0.54,70.18,21.10,56.15,363,
sulawesi utara - kepulauan talaud,6,0.81,9.00,42.76,0.10,25.80,9.81,1.98,70.24,25.80,79.72,141,
sulawesi utara - minahasa selatan,6,0.76,9.37,38.94,0.00,26.91,9.34,1.94,70.01,24.20,79.91,136,
sulawesi utara - minahasa utara,6,0.98,7.11,33.26,0.00,11.75,9.89,0.87,71.40,19.10,83.69,55,
sulawesi utara - minahasa tenggara,6,0.57,12.47,40.53,0.55,21.84,9.61,1.50,70.21,25.50,80.55,118,
sulawesi utara - bolaang mongondow utara,6,0.51,8.03,28.74,0.72,32.15,8.26,2.80,67.73,26.40,80.09,134,
sulawesi utara - kep. siau tagulandang biaro,3,5.00,8.94,16.20,0.00,54.18,9.37,0.60,70.87,22.50,52.61,372,
sulawesi utara - bolaang mongondow timur,6,1.06,6.10,29.82,0.42,31.84,8.36,3.33,67.94,24.40,77.76,182,
sulawesi utara - bolaang mongondow selatan,5,1.62,12.85,35.58,0.43,37.55,8.76,3.69,64.49,37.40,67.75,306,
sulawesi utara - kota manado,6,0.00,6.19,16.05,0.00,4.64,11.40,0.03,71.90,23.80,77.55,46,
sulawesi utara - kota bitung,5,0.00,6.43,32.87,0.00,8.88,10.03,0.34,71.10,22.10,66.44,80,
sulawesi utara - kota tomohon,6,0.00,5.69,20.01,0.00,16.05,10.64,0.13,72.06,18.30,72.89,65,
sulawesi utara - kota kotamobagu,6,0.00,5.74,12.87,0.02,14.43,10.63,0.12,70.60,25.10,72.85,66,
sulawesi tengah - banggai,6,0.34,7.83,15.06,0.65,20.23,8.60,5.19,70.88,26.00,85.73,27,
sulawesi tengah - poso,6,0.34,15.92,13.49,0.61,24.20,9.72,5.03,71.19,26.70,82.80,75,
sulawesi tengah - donggala,5,0.78,16.73,20.27,3.25,30.88,8.20,4.38,67.50,29.50,75.30,216,
sulawesi tengah - tolitoli,6,0.59,13.51,14.48,4.20,27.18,8.98,2.96,66.18,29.30,78.64,165,
sulawesi tengah - buol,6,0.48,14.06,14.29,1.18,12.63,9.07,5.26,69.05,28.60,82.79,78,
sulawesi tengah - morowali,6,0.60,13.75,12.78,1.72,16.41,8.35,2.36,69.23,28.90,81.51,99,
sulawesi tengah - banggai kepulauan,4,3.63,13.72,25.14,2.72,13.51,8.24,3.29,66.59,30.60,60.87,339,
sulawesi tengah - parigi moutong,6,0.26,15.28,20.03,4.37,35.17,8.27,2.95,64.35,31.70,76.83,198,
sulawesi tengah - tojo una-una,5,1.11,16.60,29.45,1.75,12.52,8.43,5.23,65.90,29.40,74.80,226,
sulawesi tengah - sigi,6,0.42,13.05,18.32,0.90,42.96,9.03,5.17,70.09,40.70,77.94,177,
sulawesi tengah - banggai laut,2,5.00,14.17,27.05,7.96,24.06,8.38,1.07,65.67,26.10,50.35,378,
sulawesi tengah - morowali utara,6,0.55,13.90,21.40,2.65,26.99,8.36,13.11,69.71,24.60,79.50,145,
sulawesi tengah - kota palu,6,0.00,7.17,4.55,0.00,3.94,11.57,0.12,71.09,23.90,79.94,36,
sulawesi selatan - kepulauan selayar,5,1.40,12.45,38.39,2.61,12.58,8.30,1.00,68.52,27.70,75.26,217,
sulawesi selatan - bulukumba,6,0.29,7.43,36.84,0.46,21.18,8.20,0.71,68.10,30.80,82.50,83,
sulawesi selatan - bantaeng,6,0.31,9.41,35.91,0.00,23.74,7.17,0.31,70.60,22.50,82.77,80,
sulawesi selatan - jeneponto,6,0.23,14.28,32.53,0.67,14.74,7.05,0.40,66.49,37.90,79.51,144,
sulawesi selatan - takalar,6,0.44,8.25,22.38,0.23,26.50,8.00,0.33,67.30,34.70,80.87,113,
sulawesi selatan - gowa,6,0.30,7.54,26.76,0.59,33.43,8.04,1.31,70.45,33.00,82.13,86,
sulawesi selatan - sinjai,6,0.42,8.84,26.53,0.10,22.32,8.16,0.47,67.38,30.10,81.62,98,
sulawesi selatan - bone,6,0.14,10.52,13.63,2.06,29.31,7.58,2.61,67.21,34.10,81.68,97,
sulawesi selatan - maros,6,0.30,9.57,21.57,0.40,27.38,8.38,1.49,69.04,37.50,81.81,93,
sulawesi selatan - pangkajene dan kepulauan,6,0.49,14.28,24.61,0.14,23.78,8.51,1.00,66.78,33.10,78.64,164,
sulawesi selatan - barru,6,0.26,8.68,22.77,0.68,17.37,8.53,1.42,69.07,26.40,84.95,38,
sulawesi selatan - soppeng,6,0.12,7.53,16.24,1.01,28.69,8.11,1.70,69.81,25.40,85.27,33,
sulawesi selatan - wajo,6,0.10,6.46,27.32,0.20,17.88,7.48,2.18,67.48,22.60,85.46,30,
sulawesi selatan - sidenreng rappang,6,0.11,5.04,19.51,0.66,28.90,8.28,1.26,70.01,25.40,86.19,20,
sulawesi selatan - pinrang,6,0.13,8.81,19.89,0.11,23.93,8.10,1.30,69.77,24.50,85.31,32,
sulawesi selatan - enrekang,6,0.56,12.47,36.94,0.70,32.66,8.70,1.24,70.93,31.90,78.55,168,
sulawesi selatan - luwu,6,0.22,12.53,27.10,0.98,34.55,8.92,2.03,70.44,22.80,81.88,91,
sulawesi selatan - tana toraja,6,0.61,12.27,38.15,1.08,53.55,9.03,1.58,73.40,29.20,76.52,201,
sulawesi selatan - luwu utara,6,0.24,13.59,36.23,0.31,29.90,8.23,6.90,68.67,19.50,80.27,128,
sulawesi selatan - luwu timur,6,0.20,6.94,14.87,0.54,27.26,8.38,3.39,70.63,19.90,86.36,16,
sulawesi selatan - toraja utara,6,0.60,11.99,34.20,1.14,37.01,8.89,0.91,73.41,32.60,79.18,154,
sulawesi selatan - kota makassar,6,0.00,4.82,8.20,0.08,1.26,11.44,0.02,72.13,18.80,83.86,19,
sulawesi selatan - kota pare pare,6,0.00,5.40,7.33,0.00,7.76,11.23,0.08,71.31,24.80,79.10,41,
sulawesi selatan - kota palopo,6,0.00,8.14,14.07,0.00,5.02,11.18,0.16,70.92,28.50,73.41,63,
sulawesi  tenggara - kolaka,6,0.64,12.43,20.67,1.79,19.81,9.14,2.72,71.21,26.50,82.15,85,
sulawesi  tenggara - konawe,6,0.26,13.03,24.36,0.19,14.65,9.27,2.49,70.32,26.20,84.53,43,
sulawesi  tenggara - muna,6,1.22,13.54,30.50,0.31,22.49,8.36,1.11,70.41,30.80,75.88,209,
sulawesi  tenggara - buton,5,1.60,13.92,40.19,0.66,9.20,8.57,1.64,68.39,33.00,73.51,247,
sulawesi  tenggara - konawe selatan,6,0.48,11.34,25.62,0.31,17.48,8.42,5.37,70.87,28.30,82.71,81,
sulawesi  tenggara - bombana,6,0.34,10.76,23.37,1.48,6.33,8.31,3.70,69.09,26.80,84.97,37,
sulawesi  tenggara - wakatobi,3,4.02,14.91,28.87,0.21,38.52,8.59,1.04,70.48,26.00,56.62,361,
sulawesi  tenggara - kolaka utara,5,1.94,13.79,22.57,1.21,14.99,8.65,4.20,70.36,29.10,73.28,249,
sulawesi  tenggara - konawe utara,6,1.23,14.32,30.39,0.16,18.42,9.48,12.88,69.53,29.50,75.89,207,
sulawesi  tenggara - buton utara,5,1.67,14.89,28.04,1.58,18.32,8.59,3.46,70.93,26.80,74.03,239,
sulawesi  tenggara - kolaka timur,6,0.22,14.35,30.25,0.00,18.91,8.62,5.74,72.82,23.00,84.04,51,
sulawesi  tenggara - konawe kepulauan,4,3.74,17.81,24.99,0.18,12.26,9.00,3.05,68.43,32.80,60.04,345,
sulawesi  tenggara - muna barat,6,0.71,13.96,36.66,1.24,23.60,7.91,1.76,70.35,29.00,77.99,175,
sulawesi  tenggara - buton tengah,4,2.69,15.80,44.69,0.22,12.15,7.78,1.46,67.69,42.70,63.69,328,
sulawesi  tenggara - buton selatan,5,1.43,14.62,34.74,1.40,41.27,7.94,0.78,67.69,45.20,68.05,305,
sulawesi  tenggara - kota kendari,6,0.00,4.87,8.58,0.00,7.46,12.09,0.11,73.83,24.00,83.01,22,
sulawesi  tenggara - kota bau bau,6,0.00,7.78,12.57,0.00,2.86,11.19,0.20,71.25,27.60,75.32,52,
gorontalo - gorontalo,6,0.45,17.89,11.49,1.22,20.79,8.33,1.19,67.69,28.30,79.79,139,
gorontalo - boalemo,6,0.17,19.00,14.52,1.33,17.22,8.05,2.16,69.30,29.80,81.71,96,
gorontalo - bone bolango,6,0.88,16.30,7.69,0.00,22.05,8.79,2.21,68.52,25.10,78.84,158,
gorontalo - pahuwato,6,0.18,18.08,18.46,0.46,6.39,8.03,5.64,64.30,34.60,80.47,119,
gorontalo - gorontalo utara,6,0.21,17.23,13.17,1.24,19.75,8.03,2.69,65.93,29.50,80.34,125,
gorontalo - kota gorontalo,6,0.00,5.93,2.11,0.00,4.67,10.41,0.05,72.53,26.50,80.95,29,
sulawesi barat - mamuju utara,5,2.26,4.77,16.60,1.24,13.81,8.45,4.35,66.45,28.60,73.65,244,
sulawesi barat - mamuju,6,0.46,7.46,18.31,0.42,25.22,8.18,3.04,67.77,30.30,82.18,84,
sulawesi barat - mamasa,5,0.58,13.77,42.51,1.97,69.76,8.25,2.77,70.94,33.70,71.22,271,
sulawesi barat - polewali mandar,5,0.50,15.68,30.20,0.77,28.90,7.85,0.80,62.53,36.00,74.17,238,
sulawesi barat - majene,4,3.16,14.34,21.12,0.08,16.50,9.36,0.85,61.77,35.70,61.63,335,
sulawesi barat - mamuju tengah,6,0.63,7.13,15.28,1.18,28.54,7.60,3.67,68.55,26.30,81.37,102,
maluku - maluku tengah,5,1.53,19.84,22.04,3.66,31.93,9.99,5.04,66.45,29.80,69.62,291,
maluku - maluku tenggara,2,4.79,22.73,8.75,1.91,36.46,9.86,1.44,65.14,21.60,49.50,379,
maluku - maluku tenggara barat,2,5.00,27.27,22.67,0.33,32.48,9.88,7.78,63.45,25.10,44.58,388,
maluku - buru,6,0.40,17.28,8.28,2.58,25.52,8.98,5.31,66.44,31.70,79.02,156,
maluku - seram bagian timur,4,0.92,23.25,10.59,15.74,40.63,8.49,6.03,59.62,41.90,65.69,319,
maluku - seram bagian barat,4,2.18,25.27,12.57,2.69,39.56,9.43,4.58,61.85,28.70,61.06,338,
maluku - kepulauan aru,2,5.00,26.53,12.73,22.37,29.78,8.86,12.52,62.96,35.80,42.36,391,
maluku - maluku barat daya,4,1.34,29.55,2.46,5.28,31.28,9.36,9.62,62.55,29.60,66.43,316,
maluku - buru selatan,3,3.60,15.89,21.95,7.58,20.30,7.99,7.03,66.36,39.10,57.79,357,
maluku - kota ambon,6,0.00,5.02,3.39,0.09,10.72,12.16,0.11,70.63,21.80,80.96,28,
maluku - kota tual,3,0.00,23.26,0.77,1.64,19.88,10.39,0.68,65.68,27.70,45.18,96,
maluku utara - halmahera barat,3,5.00,8.95,5.89,1.28,41.07,8.58,3.09,66.34,30.00,52.05,374,
maluku utara - halmahera tengah,2,5.00,13.52,5.41,1.77,34.07,9.12,4.54,64.15,29.10,50.67,376,
maluku utara - halmahera utara,4,3.90,5.22,10.03,1.53,26.41,8.62,4.58,69.61,30.50,63.43,330,
maluku utara - halmahera selatan,3,5.00,5.19,18.87,7.43,25.57,8.37,6.12,65.93,33.70,53.42,370,
